id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5122311763789042,P9mqIfTHA,5507836092,橙新聞,【Carousell买到刘德华演唱会假票，苦主放蛇当街追卖家】刘德华于2024年12月中旬至今年1月10日举办多场演唱会，“黄牛票”一直屡见不鲜。近日，有香港网民上传影片，两女子在港铁大围站不断拉扯、当街追逐，其中一女子高喊“卖假飞”。据悉，该女子由网上交易平台Carousell，以7500元购买一张1月10日刘德华演唱会门票，但她当晚到红馆出示门票欲入场时，却被告之为假票。随后，该女子于上周六（1月11日）下午5时左右，“放蛇”相约该名卖家交收，卖家被识破后企图搭的士逃走，但苦主成功将对方截停及报警，警方到场后以涉嫌“以欺骗手段取得财产”罪拘捕一名姓蔡32岁女子。#刘德华演唱会##香港##黄牛票#L橙新聞的微博视频,,,,"刘德华演唱会,香港,黄牛票",0,0,0,2025-01-13 11:09,微博视频号,,"http://f.video.weibocdn.com/o0/gDS33nGelx08l7vQk2pG01041200mVzJ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737521755&ssig=KoXlEjzDpX&KID=unistore,video",,,蓝V
5121285975705793,P8VKdnWkV,5660200912,蓝莉妮,马上春节假期了，在外面打工的人，你抢到回家的高铁🚅火票了吗？？今天早上八点钟开始，登陆铁路12306的手机APP，选择了目的地，时段，乘车人信息，一切就绪，等九点钟开抢。八点59分，倒计时14秒，13秒…到点进去就如下图这样子，然后再重新返回操作，提示抢光了！多年以来在微信群抢红包和直播间秒抢的手速都抢不到，想知道铁路局有全部放票了吗？还是只放2张票，让全国人抢，抢不到票找黄牛票！！重点是黄牛票代购点➕50元，随时都有票！！这个又是如何操作的，代购点有优先购买权？？俺农村不懂城市的套路……懂的科普一下一下呗。套路太深，俺就不参与了，浪费时间浪费移动流量！！#抢高铁票##12306抢票##黄牛票##春节回家#,,,,"抢高铁票,12306抢票,黄牛票,春节回家",0,0,0,2025-01-10 15:13,nova 9 精彩由我摄定,https://wx2.sinaimg.cn/large/006b3CP6gy1hxfo5toy3qj30u01t042k.jpg,,,广东,普通用户
5080664983997734,OxQsOgLZA,7315750536,Xhhzhf-s,再也不买黄牛票了第一次买就被骗630警局一游算是追不回来了#黄牛票##汪苏泷2024十万伏特巡回演唱会#,,,,"黄牛票,汪苏泷2024十万伏特巡回演唱会",0,4,3,2024-09-20 12:59,iPhone客户端,https://wx3.sinaimg.cn/large/007Z68Uoly1htu3eol3s0j34eo3b0hdv.jpg,,,浙江,普通用户
5073507983819113,OuQhgg1wB,6216754378,环球美女汇,华晨宇打响内娱反黄牛第一枪，内娱艺人都跟进学习#华晨宇##华晨宇演唱会##我的追星日记##娱评乐子人期中考##黄牛票##华晨宇#L环球美女汇的微博视频,,,,"华晨宇,华晨宇演唱会,我的追星日记,娱评乐子人期中考,黄牛票",0,0,1,2024-08-31 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/SewMEkpxlx08hEI06AA001041200ssOL0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737521755&ssig=ed2MOr9S5G&KID=unistore,video",,北京,黄V
5062179755131485,Oq5zVlwVT,6293328024,脑洞科普实验室,"广东省博物馆门票紧俏难约，""黄牛""代劳随意挑日期#广东省博物馆##黄牛票##博物馆#L大娱海糖的微博视频",,,,"广东省博物馆,黄牛票,博物馆",0,4,0,2024-07-31 12:46,微博视频号,,"http://f.video.weibocdn.com/o0/Gwfi0SNClx08gQQEbJ4Y010412007a8r0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737521755&ssig=OboLEawbpz&KID=unistore,video",,北京,黄V
5053119641944650,OmhSQ89Tk,2110699022,-上网奇才-,笑亖企鹅国有自己的暗号(cover#黄牛票#BKPP超话,,,,黄牛票,0,1,0,2024-07-06 12:44,BKPP超话,https://wx3.sinaimg.cn/large/7dceb60egy1hre7umvpxgj20wr1z0q6v.jpg,,,广东,普通用户
5048073027847779,OkaB8wVz5,6083019141,帮忙有一套,“律师帮女团”第1328期话题：购买黄牛票后被拉黑，如何挽回损失？#黄牛票##法律咨询#可留言咨询律师！L帮忙有一套的微博视频,,,,"黄牛票,法律咨询",0,1,0,2024-06-22 14:31,微博视频号,,"http://f.video.weibocdn.com/o0/dHlyyu7Glx08fPgPFhiM01041200j9oq0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1737521755&ssig=Nt8lZYBzyp&KID=unistore,video",,,蓝V
